p,n,e,z,d
62391,13714453.36,2364325.738,414.8948,
62392,13714425.76,2364325.738,415.1151,
62393,13714398.16,2364325.738,415.4678,
62394,13714370.56,2364325.738,415.5544,
62395,13714342.99,2364325.738,415.7315,
62396,13714315.07,2364325.738,415.9226,
66384,13714302.07,2364325.738,415.9562,
66385,13714274.47,2364325.738,416.1555,
66386,13714246.87,2364325.738,416.123,
66387,13714219.27,2364325.738,416.0846,
66388,13714191.67,2364325.738,416.1386,
66389,13714164.07,2364325.738,416.0994,
66390,13714136.47,2364325.738,415.9164,
66391,13714108.87,2364325.738,415.7901,
66392,13714080.97,2364325.738,415.549,
66393,13714053.37,2364325.738,415.0565,
66394,13714025.77,2364325.738,414.622,
66395,13713998.17,2364325.738,414.4553,
66396,13713970.57,2364325.738,414.1626,
66397,13713943,2364325.738,413.8228,
66398,13713915.08,2364325.738,413.4389,
66474,13713875.08,2364325.738,412.8423,
66475,13713847.48,2364325.738,412.0113,
66476,13713819.88,2364325.738,411.1344,
66477,13713792.28,2364325.738,410.9856,
66478,13713764.68,2364325.738,410.6883,
66479,13713737.08,2364325.738,410.3785,
66480,13713709.48,2364325.738,410.0334,
66481,13713681.88,2364325.738,410.0788,
66482,13713653.99,2364325.738,410.1815,
66483,13713626.39,2364325.738,410.279,
66484,13713598.79,2364325.738,410.0715,
66485,13713571.19,2364325.738,410,
66486,13713543.59,2364325.738,409.9999,
66487,13713516.01,2364325.738,409.9999,
66488,13713488.09,2364325.738,410,
75288,13713475.09,2364325.738,410,
75289,13713447.49,2364325.738,409.8207,
75290,13713419.89,2364325.738,409.7189,
75291,13713392.29,2364325.738,409.7849,
75292,13713364.69,2364325.738,409.9979,
75293,13713337.09,2364325.738,409.9986,
75294,13713309.49,2364325.738,410.0661,
75295,13713281.89,2364325.738,410.5003,
75296,13713254,2364325.738,410.9953,
75297,13713226.4,2364325.738,411.1157,
75298,13713198.8,2364325.738,411.3757,
75299,13713171.2,2364325.738,411.8949,
75300,13713143.6,2364325.738,412.7577,
75301,13713116.03,2364325.738,412.8721,
75302,13713088.11,2364325.738,413.6358,
75500,13713048.11,2364325.738,415.0044,
75501,13713020.51,2364325.738,416.5793,
75502,13712992.91,2364325.738,417.5217,
75503,13712965.31,2364325.738,418.8226,
75504,13712937.71,2364325.738,420.3881,
75505,13712910.11,2364325.738,420.9534,
75506,13712882.51,2364325.738,422.0377,
75507,13712854.91,2364325.738,422.4973,
75508,13712827.02,2364325.738,423.0402,
75509,13712799.42,2364325.738,423.8533,
75510,13712771.82,2364325.738,424.3691,
75511,13712744.22,2364325.738,425,
75512,13712716.62,2364325.738,424.9972,
75513,13712689.04,2364325.738,424.6983,
75514,13712661.12,2364325.738,424.6462,
64070,13718436.7,2364347.654,443.5121,
64071,13718409.1,2364347.654,443.9418,
64072,13718381.5,2364347.654,444.2488,
64073,13718353.9,2364347.654,444.6702,
64074,13718326.3,2364347.654,444.8062,
64075,13718298.7,2364347.654,444.6354,
64076,13718271.1,2364347.654,445.0041,
64077,13718243.5,2364347.654,444.9972,
64078,13718215.61,2364347.654,445.2137,
64079,13718188.01,2364347.654,445.2073,
64080,13718160.41,2364347.654,445.2144,
64081,13718132.81,2364347.654,445.3341,
64082,13718105.21,2364347.654,445.1155,
64083,13718077.63,2364347.654,444.9814,
64084,13718049.71,2364347.654,444.6592,
69815,13718009.71,2364347.654,444.0423,
69816,13717982.11,2364347.654,443.8944,
69817,13717954.51,2364347.654,443.8855,
69818,13717926.91,2364347.654,443.5651,
69819,13717899.31,2364347.654,443.3029,
69820,13717871.71,2364347.654,442.9928,
69821,13717844.11,2364347.654,442.8271,
69822,13717816.51,2364347.654,442.3907,
69823,13717788.62,2364347.654,441.881,
69824,13717761.02,2364347.654,441.1908,
69825,13717733.42,2364347.654,440.8203,
69826,13717705.82,2364347.654,440.3132,
69827,13717678.22,2364347.654,439.9545,
69828,13717650.65,2364347.654,439.5387,
69829,13717622.73,2364347.654,438.911,
76605,13715956.01,2364347.654,417.2841,
76606,13715928.41,2364347.654,417.8187,
76607,13715900.81,2364347.654,417.3224,
76608,13715873.21,2364347.654,416.6191,
76609,13715845.61,2364347.654,416.003,
76610,13715818.01,2364347.654,416.7587,
76611,13715790.41,2364347.654,417,
76612,13715762.81,2364347.654,416.9921,
76613,13715734.92,2364347.654,416.9372,
76614,13715707.32,2364347.654,416.9718,
76615,13715679.72,2364347.654,416.5357,
76616,13715652.12,2364347.654,416.0755,
76617,13715624.52,2364347.654,416.0533,
76618,13715596.94,2364347.654,415.9994,
76619,13715569.03,2364347.654,416.004,
76771,13715529.03,2364347.654,416.0006,
76772,13715501.43,2364347.654,416,
76773,13715473.83,2364347.654,416,
76774,13715446.23,2364347.654,416,
76775,13715418.63,2364347.654,416,
76776,13715391.03,2364347.654,416,
76777,13715363.43,2364347.654,415.687,
76778,13715335.83,2364347.654,415.2913,
76779,13715307.93,2364347.654,415.0618,
76780,13715280.33,2364347.654,415.004,
76781,13715252.73,2364347.654,415.0397,
76782,13715225.13,2364347.654,415.1478,
76783,13715197.53,2364347.654,415.0292,
76784,13715169.96,2364347.654,414.9919,
76785,13715142.04,2364347.654,414.7075,
62249,13715129.04,2364347.654,414.6856,
62250,13715101.44,2364347.654,414.7168,
62251,13715073.84,2364347.654,414.6291,
62252,13715046.24,2364347.654,414.5843,
62253,13715018.64,2364347.654,414.674,
62254,13714991.04,2364347.654,414.6916,
62255,13714963.44,2364347.654,414.5357,
62256,13714935.84,2364347.654,414.6385,
62257,13714907.95,2364347.654,414.488,
62258,13714880.35,2364347.654,414.3524,
62259,13714852.75,2364347.654,414.2187,
62260,13714825.15,2364347.654,414.1493,
62261,13714797.55,2364347.654,414.5444,
62262,13714769.97,2364347.654,414.2409,
62263,13714742.05,2364347.654,414.0064,
62367,13714702.05,2364347.654,414.2254,
62368,13714674.45,2364347.654,414.3536,
62369,13714646.85,2364347.654,414.491,
62370,13714619.25,2364347.654,414.6535,
62371,13714591.65,2364347.654,414.9697,
62372,13714564.05,2364347.654,415.2462,
62373,13714536.45,2364347.654,415.0721,
62374,13714508.85,2364347.654,414.9837,
62375,13714480.96,2364347.654,414.9966,
62376,13714453.36,2364347.654,415.0926,
62377,13714425.76,2364347.654,415.8031,
62378,13714398.16,2364347.654,415.9552,
62379,13714370.56,2364347.654,416.0006,
62380,13714342.99,2364347.654,416.5208,
62381,13714315.07,2364347.654,416.8548,
66369,13714302.07,2364347.654,416.9337,
66370,13714274.47,2364347.654,416.9905,
66371,13714246.87,2364347.654,416.7356,
66372,13714219.27,2364347.654,417.0009,
66373,13714191.67,2364347.654,416.8245,
66374,13714164.07,2364347.654,416.6957,
66375,13714136.47,2364347.654,416.5238,
66376,13714108.87,2364347.654,416.2017,
66377,13714080.97,2364347.654,416.0222,
66378,13714053.37,2364347.654,415.6089,
66379,13714025.77,2364347.654,415.0212,
66380,13713998.17,2364347.654,414.9679,
66381,13713970.57,2364347.654,414.5267,
66382,13713943,2364347.654,414.0968,
66383,13713915.08,2364347.654,413.7126,
66459,13713875.08,2364347.654,412.8177,
66460,13713847.48,2364347.654,412.0049,
66461,13713819.88,2364347.654,411.6029,
